scheme_code,scheme_name,amc,category_latest,category_first,plan,option,isin_growth_or_payout,isin_reinvest,first_nav_date,last_nav_date,nav_count,status
118959,HDFC Floating Interest Rates Fund - Direct Plan - Daily IDCW,HDFC Mutual Fund,Open Ended Schemes ( Income/Debt Oriented Schemes - Floating Interest Rates Fund ),Open Ended Schemes ( Income/Debt Oriented Schemes - Floating Interest Rates Fund ),Direct Plan,Daily IDCW,,INF179KC1IU6,2022-01-03,2022-12-30,243,active
118960,HDFC Floating Interest Rates Fund - Direct Plan - Monthly IDCW,HDFC Mutual Fund,Open Ended Schemes ( Income/Debt Oriented Schemes - Floating Interest Rates Fund ),Open Ended Schemes ( Income/Debt Oriented Schemes - Floating Interest Rates Fund ),Direct Plan,Monthly IDCW,INF179K01VO9,INF179K01VP6,2022-01-03,2022-12-30,243,active
118961,HDFC Floating Interest Rates Fund - Direct Plan - Growth Option,HDFC Mutual Fund,Open Ended Schemes ( Income/Debt Oriented Schemes - Floating Interest Rates Fund ),Open Ended Schemes ( Income/Debt Oriented Schemes - Floating Interest Rates Fund ),Direct Plan,Growth Option,INF179K01VQ4,,2022-01-03,2022-12-30,243,active
118962,HDFC Floating Interest Rates Fund - Direct Plan - Weekly IDCW,HDFC Mutual Fund,Open Ended Schemes ( Income/Debt Oriented Schemes - Floating Interest Rates Fund ),Open Ended Schemes ( Income/Debt Oriented Schemes - Floating Interest Rates Fund ),Direct Plan,Weekly IDCW,INF179KC1IW2,,2022-01-03,2022-12-30,243,active
118968,HDFC Balanced Advantage Fund - Growth Plan - Direct Plan,HDFC Mutual Fund,Open Ended Schemes ( Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage ),Open Ended Schemes ( Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage ),Direct Plan,Growth Option,INF179K01WA6,,2022-01-03,2022-12-30,247,active
118969,HDFC Balanced Advantage Fund - IDCW Plan - Direct Plan,HDFC Mutual Fund,Open Ended Schemes ( Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage ),Open Ended Schemes ( Hybrid Scheme - Dynamic Asset Allocation or Balanced Advantage ),Direct Plan,IDCW Option,INF179K01VY8,INF179K01VZ5,2022-01-03,2022-12-30,247,active
118978,HDFC Infrastructure Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,Open Ended Schemes ( Equity Scheme - Sectoral/ Thematic ),Open Ended Schemes ( Equity Scheme - Sectoral/ Thematic ),Direct Plan,IDCW Option,INF179K01WP4,INF179K01WR0,2022-01-03,2022-12-30,247,active
118979,HDFC Infrastructure Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Open Ended Schemes ( Equity Scheme - Sectoral/ Thematic ),Open Ended Schemes ( Equity Scheme - Sectoral/ Thematic ),Direct Plan,Growth Option,INF179K01WQ2,,2022-01-03,2022-12-30,247,active
118986,HDFC Corporate Bond Fund - Quarterly IDCW Option - Direct Plan,HDFC Mutual Fund,Open Ended Schemes ( Debt Scheme - Corporate Bond Fund ),Open Ended Schemes ( Debt Scheme - Corporate Bond Fund ),Direct Plan,Quarterly IDCW Option,INF179K01XB2,INF179K01XC0,2022-01-03,2022-12-30,243,active
118987,HDFC Corporate Bond Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Open Ended Schemes ( Debt Scheme - Corporate Bond Fund ),Open Ended Schemes ( Debt Scheme - Corporate Bond Fund ),Direct Plan,Growth Option,INF179K01XD8,,2022-01-03,2022-12-30,243,active
118988,HDFC Mid Cap Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,Open Ended Schemes ( Equity Scheme - Mid Cap Fund ),Open Ended Schemes ( Equity Scheme - Mid Cap Fund ),Direct Plan,IDCW Option,INF179K01XO5,INF179K01XP2,2022-01-03,2022-12-30,247,active
118989,HDFC Mid Cap Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Open Ended Schemes ( Equity Scheme - Mid Cap Fund ),Open Ended Schemes ( Equity Scheme - Mid Cap Fund ),Direct Plan,Growth Option,INF179K01XQ0,,2022-01-03,2022-12-30,247,active
118992,DSP Conservative Hybrid Fund - Direct Plan - IDCW - Monthly,DSP Mutual Fund,Open Ended Schemes ( Hybrid Schemes - Conservative Hybrid Fund ),Open Ended Schemes ( Hybrid Schemes - Conservative Hybrid Fund ),Direct Plan,Monthly IDCW,INF740K01NP2,INF740K01NR8,2022-01-03,2022-12-30,243,active
118993,DSP Conservative Hybrid Fund - Direct Plan - IDCW - Quarterly,DSP Mutual Fund,Open Ended Schemes ( Hybrid Schemes - Conservative Hybrid Fund ),Open Ended Schemes ( Hybrid Schemes - Conservative Hybrid Fund ),Direct Plan,Quarterly IDCW,INF740K01NQ0,INF740K01NS6,2022-01-03,2022-12-30,243,active
118994,DSP Conservative Hybrid Fund - Direct Plan - Growth,DSP Mutual Fund,Open Ended Schemes ( Hybrid Schemes - Conservative Hybrid Fund ),Open Ended Schemes ( Hybrid Schemes - Conservative Hybrid Fund ),Direct Plan,Growth,INF740K01NO5,,2022-01-03,2022-12-30,243,active
119015,HDFC Short Term Fund - Fortnightly IDCW - Direct Plan,HDFC Mutual Fund,Open Ended Schemes ( Income/Debt Oriented Schemes - Short Term Fund ),Open Ended Schemes ( Income/Debt Oriented Schemes - Short Term Fund ),Direct Plan,Fortnightly IDCW,,,2022-01-03,2022-12-30,243,active
119016,HDFC Short Term Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Open Ended Schemes ( Income/Debt Oriented Schemes - Short Term Fund ),Open Ended Schemes ( Income/Debt Oriented Schemes - Short Term Fund ),Direct Plan,Growth Option,INF179K01YM7,,2022-01-03,2022-12-30,243,active
119017,HDFC Large Cap Fund - IDCW Option - Direct Plan,HDFC Mutual Fund,Open Ended Schemes ( Equity Scheme - Large Cap Fund ),Open Ended Schemes ( Equity Scheme - Large Cap Fund ),Direct Plan,IDCW Option,INF179K01YT2,INF179K01YU0,2022-01-03,2022-12-30,247,active
119018,HDFC Large Cap Fund - Growth Option - Direct Plan,HDFC Mutual Fund,Open Ended Schemes ( Equity Scheme - Large Cap Fund ),Open Ended Schemes ( Equity Scheme - Large Cap Fund ),Direct Plan,Growth Option,INF179K01YV8,,2022-01-03,2022-12-30,247,active
119019,DSP Aggressive Hybrid Fund - Direct Plan - Growth,DSP Mutual Fund,Open Ended Schemes ( Hybrid Scheme - Aggressive Hybrid Fund ),Open Ended Schemes ( Hybrid Scheme - Aggressive Hybrid Fund ),Direct Plan,Growth,INF740K01NY4,,2022-01-03,2022-12-30,247,active
119020,DSP Aggressive Hybrid Fund - Direct Plan - IDCW,DSP Mutual Fund,Open Ended Schemes ( Hybrid Scheme - Aggressive Hybrid Fund ),Open Ended Schemes ( Hybrid Scheme - Aggressive Hybrid Fund ),Direct Plan,IDCW,INF740K01NZ1,INF740K01OA2,2022-01-03,2022-12-30,247,active
119028,DSP Natural Resources and New Energy Fund - Direct Plan - Growth,DSP Mutual Fund,Open Ended Schemes ( Equity Schemes - Thematic Fund ),Open Ended Schemes ( Equity Schemes - Thematic Fund ),Direct Plan,Growth,INF740K01QA7,,2022-01-03,2022-12-30,240,active
119029,DSP Natural Resources and New Energy Fund - Direct Plan - IDCW,DSP Mutual Fund,Open Ended Schemes ( Equity Schemes - Thematic Fund ),Open Ended Schemes ( Equity Schemes - Thematic Fund ),Direct Plan,IDCW,INF740K01QB5,INF740K01QC3,2022-01-03,2022-12-30,240,active
